0,0
1,14
2,13
3,14
4,33
5,38
6,52
7,67
8,74
9,97
10,134
11,188
12,245
13,317
14,381
15,371
16,404
17,388
18,318
19,231
20,177
21,160
22,122
23,83
24,58
25,47
26,23
27,23
28,11
29,6
30,1
31,3
32,1
33,0
34,1
35,1
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
